feature	importance.x	Frequency.x	importance.y	Frequency.y	comparison	drug
ENSG00000130558_gex	0.6207734609730383	2	0.3557811424638679	2	CCLE	ERLOTINIB
ENSG00000130517_gex	0.6207338623055335	2	0.1479983941270934	2	CCLE	ERLOTINIB
ENSG00000171931_cnv	0.6173655006509031	2	0.14762560220234	1	CCLE	ERLOTINIB
ENSG00000213889_gex	0.6171180089789979	2	0.017894012388162423	1	CCLE	ERLOTINIB
ENSG00000101310_cnv	0.615947373370886	2	0.24845147969717823	1	CCLE	ERLOTINIB
ENSG00000168528_cnv	0.6158558014522811	2	0.15622849277357193	1	CCLE	ERLOTINIB
ENSG00000164398_gex	0.6118266370336638	2	0.04163799036476257	1	CCLE	ERLOTINIB
ENSG00000136156_cnv	0.6107698475946285	2	0.19855471438403302	1	CCLE	ERLOTINIB
ENSG00000109118_gex	0.6054661010656992	2	0.17704748795595318	2	CCLE	ERLOTINIB
ENSG00000150527_cnv	0.604557806629807	2	0.1789401238816242	1	CCLE	ERLOTINIB
ENSG00000105983_cnv	0.6044241611269782	2	0.2336545079146593	1	CCLE	ERLOTINIB
ENSG00000160888_gex	0.6040059002014583	2	0.044390915347556785	1	CCLE	ERLOTINIB
ENSG00000107099_cnv	0.6033673716879426	2	0.35954347327368663	2	CCLE	ERLOTINIB
ENSG00000188938_cnv	0.5991798125993061	2	0.11768754301445288	1	CCLE	ERLOTINIB
ENSG00000064270_gex	0.5931929890559182	2	0.37101399403532925	2	CCLE	ERLOTINIB
ENSG00000019991_gex	0.590958139258614	2	0.5388219775177793	2	CCLE	ERLOTINIB
ENSG00000107164_gex	0.5906017512510705	2	0.18737669190181233	2	CCLE	ERLOTINIB
ENSG00000149575_gex	0.5872135902626876	2	0.06297315898141777	1	CCLE	ERLOTINIB
ENSG00000205899_cnv	0.5865824864993294	2	0.10323468685478322	1	CCLE	ERLOTINIB
ENSG00000049323_gex	0.5862161988249096	2	0.4842567102546456	2	CCLE	ERLOTINIB
ENSG00000156026_cnv	0.5857707138154801	2	0.17068134893324155	1	CCLE	ERLOTINIB
ENSG00000078668_cnv	0.5841743925316913	2	0.33231819224592796	2	CCLE	ERLOTINIB
ENSG00000160183_gex	0.5770639567978537	2	0.32174810736407433	1	CCLE	ERLOTINIB
ENSG00000203705_gex	0.5719210798556628	2	0.3262216104611149	1	CCLE	ERLOTINIB
ENSG00000104368_cnv	0.5698273003113445	2	0.2401927047487956	1	CCLE	ERLOTINIB
ENSG00000122787_gex	0.5694313136362961	2	0.4967767836659785	2	CCLE	ERLOTINIB
ENSG00000055147_cnv	0.5683151261960036	2	0.2601514108740537	1	CCLE	ERLOTINIB
ENSG00000175544_gex	0.5660778014819802	2	0.29112181693048866	1	CCLE	ERLOTINIB
ENSG00000155890_cnv	0.5650655605438877	2	0.1717136958017894	1	CCLE	ERLOTINIB
ENSG00000008869_cnv	0.5624000752374684	2	0.26496902959394353	1	CCLE	ERLOTINIB
ENSG00000107021_cnv	0.5614942557182951	2	0.23021335168616655	1	CCLE	ERLOTINIB
ENSG00000134809_gex	0.561249238963109	2	0.3045423262216105	1	CCLE	ERLOTINIB
ENSG00000156515_gex	0.5612442891296708	2	0.482094517091076	2	CCLE	ERLOTINIB
ENSG00000171126_gex	0.5590515129165904	2	0.48487038311539354	2	CCLE	ERLOTINIB
ENSG00000137674_gex	0.55832141248447	2	0.6217710484055976	2	CCLE	ERLOTINIB
ENSG00000035720_cnv	0.5546585357402725	2	0.26324845147969717	1	CCLE	ERLOTINIB
ENSG00000122729_cnv	0.5512307760843848	2	0.21851342050929112	1	CCLE	ERLOTINIB
ENSG00000206102_gex	0.5505575987368025	2	0.05677907777013077	1	CCLE	ERLOTINIB
ENSG00000104299_cnv	0.5503794047330308	2	0.27426015141087406	1	CCLE	ERLOTINIB
ENSG00000168264_cnv	0.548166829186198	2	0.15898141775636615	1	CCLE	ERLOTINIB
ENSG00000103489_gex	0.5479539863483595	2	0.23180201881165405	2	CCLE	ERLOTINIB
ENSG00000043093_gex	0.5473575314190677	2	0.16935650378527184	2	CCLE	ERLOTINIB
ENSG00000198825_cnv	0.5465358590683423	2	0.10805230557467309	1	CCLE	ERLOTINIB
ENSG00000185359_cnv	0.54552361813025	2	0.12456985547143841	1	CCLE	ERLOTINIB
ENSG00000106546_gex	0.5445485009429433	2	0.4014567561367287	2	CCLE	ERLOTINIB
ENSG00000167757_gex	0.5444519791909002	2	0.32415691672401925	1	CCLE	ERLOTINIB
ENSG00000176597_cnv	0.5442465611032189	2	0.13833448038540952	1	CCLE	ERLOTINIB
ENSG00000168582_cnv	0.5441376647675805	2	0.15554026152787337	1	CCLE	ERLOTINIB
ENSG00000170703_gex	0.5436501061739273	2	0.5384119064005506	2	CCLE	ERLOTINIB
ENSG00000277632_cnv	0.5434620125032793	2	0.06744666207845837	1	CCLE	ERLOTINIB
ENSG00000170417_gex	0.5432046211644979	2	0.05437026841018583	1	CCLE	ERLOTINIB
ENSG00000103051_gex	0.5423705742301772	2	0.605201881165405	2	CCLE	ERLOTINIB
ENSG00000152214_cnv	0.5420389353898242	2	0.17721954576737783	1	CCLE	ERLOTINIB
ENSG00000159167_gex	0.539955055512382	2	0.06400550584996559	1	CCLE	ERLOTINIB
ENSG00000070540_gex	0.539148232661971	2	0.013420509291121818	1	CCLE	ERLOTINIB
ENSG00000163743_gex	0.5378835502185352	2	0.0034411562284927736	1	CCLE	ERLOTINIB
ENSG00000253314_gex	0.5378439515510304	2	0.045079146593255334	1	CCLE	ERLOTINIB
ENSG00000166575_cnv	0.5366361921921328	2	0.16035788024776326	1	CCLE	ERLOTINIB
ENSG00000283788_cnv	0.5361337840981651	2	0.06607019958706126	1	CCLE	ERLOTINIB
ENSG00000064225_cnv	0.5354977305013686	2	0.2591190640055059	1	CCLE	ERLOTINIB
ENSG00000163221_gex	0.5344236166452999	2	0.31108052305574674	1	CCLE	ERLOTINIB
ENSG00000106571_gex	0.5336143188781697	2	0.5914429915118147	2	CCLE	ERLOTINIB
ENSG00000167645_gex	0.5334410747078361	2	0.04645560908465245	1	CCLE	ERLOTINIB
ENSG00000162086_gex	0.5315774624183897	2	0.31245698554714385	1	CCLE	ERLOTINIB
ENSG00000209645_gex	0.5300454889692962	2	0.005849965588437715	1	CCLE	ERLOTINIB
ENSG00000233122_gex	0.528998599197137	2	0.4354353062629044	2	CCLE	ERLOTINIB
ENSG00000083635_cnv	0.5276943180861965	2	0.25258086717136957	1	CCLE	ERLOTINIB
ENSG00000163590_gex	0.5261276958030362	2	0.04748795595320028	1	CCLE	ERLOTINIB
ENSG00000010539_gex	0.52536047162013	2	0.1750745583849507	2	CCLE	ERLOTINIB
ENSG00000169717_gex	0.5247095685230192	2	0.05505849965588438	1	CCLE	ERLOTINIB
ENSG00000254440_cnv	0.5225415414771294	2	0.08086717136958019	1	CCLE	ERLOTINIB
ENSG00000036672_cnv	0.5220688323837903	2	0.2625602202339986	1	CCLE	ERLOTINIB
ENSG00000012504_cnv	0.5219228122973663	2	0.264280798348245	1	CCLE	ERLOTINIB
ENSG00000173705_gex	0.5218287654620423	2	0.057467309015829325	1	CCLE	ERLOTINIB
ENSG00000080189_cnv	0.5216678958753039	2	0.2549896765313145	1	CCLE	ERLOTINIB
ENSG00000070526_cnv	0.5213585312854223	2	0.25739848589125947	1	CCLE	ERLOTINIB
ENSG00000171714_cnv	0.5197696347517907	2	0.1490020646937371	1	CCLE	ERLOTINIB
ENSG00000172932_gex	0.5195840159978617	2	0.2949070887818307	1	CCLE	ERLOTINIB
